Lead Name,WhatsApp Number,Email ID,Study Destination,Town,Submission Date,UTM Source,utm_medium,Campaign,Funnel Stage,College,Intake,Assigned To,Community Name,Internal Notes
Sana Patel,+92 7676460900,sana.patel60@gmail.com,UK,Pune,4/6/2026,direct,none,scholarship_2026,Lost,Monash,Jan 2027,Raj,Community #1,hot lead
Tunde Sharma,+977 7793966364,tunde.sharma90@gmail.com,Australia,Nairobi,24/8/2026,direct,referral,scholarship_2026,Contacted,Sheffield Hallam,Jan 2027,Aditi,Community #1,hot lead
Fatima Ali,+234 9563662446,fatima.ali92@gmail.com,USA,Bengaluru,23/8/2026,direct,none,,New,ASU,Sep 2026,Neha,Community #1,asked about visa
Priya Verma,+233 7713931081,priya.verma92@gmail.com,USA,Mumbai,4/7/2026,google,social,,Lost,TU Munich,Jan 2027,Raj,Community #1,hot lead
Hamza Ahmed,+977 7602261444,hamza.ahmed66@gmail.com,UK,Islamabad,24/7/2026,referral,organic,aspirants,Qualified,Monash,Jan 2027,Aditi,Community #1,
Obi Ali,+977 9288098458,obi.ali46@gmail.com,Australia,Bengaluru,14/6/2026,ig,referral,mmt_amber_partnership,Booked,,Sep 2026,Aditi,Community #2,follow up
Obi Okonkwo,+977 7632971493,obi.okonkwo83@gmail.com,Australia,Islamabad,5/6/2026,whatsapp,referral,mmt_amber_partnership,Booked,Warwick,Jan 2027,Chirag,Community #2,hot lead
Chioma Gupta,+977 7830865850,chioma.gupta87@gmail.com,USA,Accra,9/6/2026,ig,organic,mmt_amber_partnership,Contacted,Monash,Jan 2027,Aditi,Community #2,asked about visa
Chinedu Adeyemi,+234 7993460477,chinedu.adeyemi8@gmail.com,UK,Nairobi,21/8/2026,google,referral,mmt_amber_partnership,Lost,University of Birmingham,Sep 2026,Chirag,Community #1,hot lead
Fatima Osei,+234 9798940623,fatima.osei24@gmail.com,Germany,Kathmandu,20/7/2026,whatsapp,referral,,Lost,NTU,Sep 2026,Neha,Community #1,asked about visa
Rohan Okonkwo,+977 9750167486,rohan.okonkwo86@gmail.com,UK,Mumbai,7/8/2026,ig,organic,,Contacted,NTU,Jan 2027,Aditi,Community #1,asked about visa
Chioma Kaur,+234 8632431576,chioma.kaur70@gmail.com,Australia,Islamabad,5/7/2026,ig,referral,mmt_amber_partnership,Booked,Warwick,Jan 2027,Aditi,Community #1,asked about visa
Chinedu Iyer,+977 8180893378,chinedu.iyer83@gmail.com,UK,Pune,22/7/2026,referral,social,mmt_amber_partnership,New,,Jan 2027,Aditi,Community #1,
Ishita Mensah,+92 7309596379,ishita.mensah47@gmail.com,Canada,Accra,23/6/2026,referral,community,scholarship_2026,Qualified,ASU,Jan 2027,Aditi,Community #1,
Mehak Kaur,+880 8093576027,mehak.kaur35@gmail.com,Australia,Kathmandu,10/7/2026,whatsapp,none,aspirants,Qualified,TU Munich,Jan 2027,Neha,Community #1,
Imran Reddy,+880 8787185241,imran.reddy7@gmail.com,Germany,Bengaluru,13/6/2026,ig,social,aspirants,Contacted,Warwick,Sep 2026,Aditi,Community #1,
Vikram Eze,+977 9499132793,vikram.eze13@gmail.com,USA,Pune,2/6/2026,direct,social,aspirants,Qualified,NTU,Jan 2027,Neha,Community #1,follow up
Karan Sharma,+880 8855794117,karan.sharma75@gmail.com,UK,Accra,2/7/2026,referral,community,aspirants,New,ASU,Jan 2027,Aditi,Community #1,
Ananya Osei,+977 7508872317,ananya.osei99@gmail.com,Germany,Mumbai,13/8/2026,ig,social,,Contacted,NTU,Sep 2026,Aditi,Community #1,
Fatima Okonkwo,+234 9849325905,fatima.okonkwo17@gmail.com,Germany,Pune,22/8/2026,google,community,scholarship_2026,Booked,NTU,Sep 2026,Neha,Community #1,
Zainab Kaur,+880 9193943298,zainab.kaur7@gmail.com,UK,Pune,21/7/2026,ig,social,aspirants,Booked,Monash,Jan 2027,Chirag,Community #2,
Emeka Eze,+880 9217931819,emeka.eze19@gmail.com,UK,Kathmandu,12/7/2026,whatsapp,none,,Booked,Warwick,Jan 2027,Neha,Community #1,hot lead
Sana Malik,+92 9849389406,sana.malik93@gmail.com,UK,Karachi,20/6/2026,referral,organic,,Contacted,ASU,Jan 2027,Aditi,Community #1,asked about visa
Aarav Singh,+92 7878265377,aarav.singh21@gmail.com,Australia,Pune,23/7/2026,google,referral,scholarship_2026,Qualified,,Jan 2027,Neha,Community #1,asked about visa
Kabir Nwosu,+92 8988617544,kabir.nwosu87@gmail.com,Germany,Accra,7/7/2026,whatsapp,organic,aspirants,Booked,Warwick,Sep 2026,Neha,Community #1,follow up
Rohan Verma,+233 8051872467,rohan.verma65@gmail.com,Australia,Dhaka,19/7/2026,whatsapp,referral,scholarship_2026,New,NTU,Jan 2027,Neha,Community #1,asked about visa
Rahul Nwosu,+91 8616359026,rahul.nwosu14@gmail.com,Canada,Delhi,28/8/2026,direct,social,scholarship_2026,Qualified,University of Birmingham,Jan 2027,Neha,Community #1,
Nikhil Osei,+880 8922584341,nikhil.osei28@gmail.com,Canada,Bengaluru,7/6/2026,direct,social,,Lost,NTU,Jan 2027,Raj,Community #1,follow up
Chinedu Sharma,+91 7114083056,chinedu.sharma48@gmail.com,Germany,Accra,13/6/2026,ig,community,,New,Sheffield Hallam,Jan 2027,Neha,Community #1,
Tunde Iyer,+880 9784230935,tunde.iyer48@gmail.com,USA,Islamabad,17/8/2026,whatsapp,referral,aspirants,Qualified,UBC,Sep 2026,Raj,Community #1,hot lead
Imran Kaur,+91 7331128978,imran.kaur41@gmail.com,UK,Dhaka,23/8/2026,google,community,,New,Warwick,Jan 2027,Neha,Community #1,asked about visa
Adaeze Gupta,+234 8446341255,adaeze.gupta19@gmail.com,UK,Accra,12/6/2026,whatsapp,social,scholarship_2026,Contacted,Sheffield Hallam,Jan 2027,Chirag,Community #2,
Aarav Okonkwo,+880 8113352279,aarav.okonkwo30@gmail.com,Germany,Lagos,27/7/2026,google,referral,mmt_amber_partnership,Contacted,University of Birmingham,Sep 2026,Aditi,Community #1,asked about visa
Ishita Ali,+234 7510113331,ishita.ali35@gmail.com,Australia,Bengaluru,9/6/2026,google,referral,mmt_amber_partnership,Booked,Sheffield Hallam,Jan 2027,Aditi,Community #2,
Priya Ahmed,+233 8564547517,priya.ahmed16@gmail.com,Canada,Dhaka,17/6/2026,google,none,mmt_amber_partnership,Contacted,TU Munich,Sep 2026,Aditi,Community #1,asked about visa
Amara Rahman,+234 9096512100,amara.rahman57@gmail.com,Australia,Kathmandu,2/6/2026,referral,referral,,New,,Jan 2027,Chirag,Community #1,asked about visa
Kwame Verma,+233 7592028097,kwame.verma24@gmail.com,Australia,Dhaka,14/6/2026,whatsapp,referral,aspirants,New,Warwick,Jan 2027,Chirag,Community #1,follow up
Chioma Ahmed,+233 8009336514,chioma.ahmed2@gmail.com,UK,Islamabad,22/8/2026,referral,none,aspirants,Lost,UBC,Jan 2027,Neha,Community #2,
Obi Kaur,+234 9857497226,obi.kaur35@gmail.com,USA,Karachi,14/6/2026,referral,organic,aspirants,Contacted,UBC,Sep 2026,Neha,Community #2,
Chioma Nwosu,+92 9553059989,chioma.nwosu74@gmail.com,UK,Bengaluru,12/6/2026,ig,none,,Lost,University of Birmingham,Sep 2026,Raj,Community #1,
Ayesha Iyer,+91 8022042828,ayesha.iyer72@gmail.com,UK,Pune,20/6/2026,ig,referral,mmt_amber_partnership,New,Warwick,Sep 2026,Aditi,Community #1,hot lead
Ayesha Khan,+92 7403270928,ayesha.khan64@gmail.com,Australia,Mumbai,23/6/2026,google,social,aspirants,New,ASU,Sep 2026,Chirag,Community #1,follow up
Hamza Gupta,+234 9706612425,hamza.gupta82@gmail.com,Germany,Islamabad,19/8/2026,direct,community,aspirants,Booked,University of Birmingham,Jan 2027,Neha,Community #2,follow up
Ishita Osei,+92 9670762506,ishita.osei72@gmail.com,UK,Kathmandu,23/7/2026,referral,referral,mmt_amber_partnership,Contacted,ASU,Sep 2026,Neha,Community #1,follow up
Ishita Ahmed,+233 9192612729,ishita.ahmed29@gmail.com,USA,Lahore,11/6/2026,direct,none,aspirants,New,University of Birmingham,Jan 2027,Neha,Community #1,
Rohan Sharma,+880 7775415166,rohan.sharma37@gmail.com,UK,Bengaluru,4/7/2026,google,referral,aspirants,New,,Jan 2027,Raj,Community #2,follow up
Rohan Mensah,+92 8332185673,rohan.mensah37@gmail.com,Canada,Dhaka,4/7/2026,ig,community,mmt_amber_partnership,Booked,TU Munich,Jan 2027,Chirag,Community #1,asked about visa
Ananya Kaur,+880 9683150698,ananya.kaur4@gmail.com,USA,Kathmandu,10/8/2026,whatsapp,referral,,Lost,ASU,Sep 2026,Neha,Community #1,follow up
Karan Kaur,+92 7933238330,karan.kaur38@gmail.com,UK,Pune,18/7/2026,whatsapp,community,aspirants,Lost,UBC,Jan 2027,Raj,Community #2,asked about visa
Divya Patel,+233 7737898822,divya.patel95@gmail.com,USA,Lahore,24/7/2026,google,organic,scholarship_2026,Contacted,Monash,Sep 2026,Aditi,Community #1,follow up
Fatima Sharma,+880 9508982082,fatima.sharma75@gmail.com,UK,Accra,28/7/2026,direct,community,scholarship_2026,Booked,Monash,Sep 2026,Aditi,Community #2,asked about visa
Mehak Rahman,+92 8280178959,mehak.rahman72@gmail.com,Australia,Lahore,24/7/2026,google,social,,Booked,Warwick,Jan 2027,Chirag,Community #1,follow up
Tunde Osei,+234 7288153264,tunde.osei42@gmail.com,Australia,Dhaka,19/7/2026,google,referral,,New,University of Birmingham,Sep 2026,Neha,Community #2,hot lead
Ngozi Reddy,+233 8432477822,ngozi.reddy67@gmail.com,Germany,Lahore,25/8/2026,direct,organic,aspirants,Lost,UBC,Jan 2027,Raj,Community #1,follow up
Mehak Bello,+880 9125183575,mehak.bello74@gmail.com,USA,Dhaka,14/6/2026,direct,none,,Booked,UBC,Sep 2026,Chirag,Community #1,hot lead
Amara Rahman,+233 7575324484,amara.rahman84@gmail.com,Canada,Islamabad,3/7/2026,google,community,,Contacted,,Jan 2027,Chirag,Community #1,asked about visa
Sana Osei,+233 7349356292,sana.osei73@gmail.com,UK,Islamabad,2/6/2026,direct,social,aspirants,Qualified,,Sep 2026,Neha,Community #2,
Vikram Sharma,+234 7574075255,vikram.sharma99@gmail.com,Australia,Nairobi,1/8/2026,google,community,scholarship_2026,Lost,TU Munich,Jan 2027,Raj,Community #1,follow up
Rohan Patel,+91 7328019978,rohan.patel22@gmail.com,Australia,Accra,25/8/2026,direct,community,,New,University of Birmingham,Jan 2027,Chirag,Community #1,hot lead
Priya Verma,+977 7325886317,priya.verma9@gmail.com,Canada,Dhaka,6/7/2026,direct,community,,New,University of Birmingham,Sep 2026,Aditi,Community #1,asked about visa
Sneha Nwosu,+234 7144130893,sneha.nwosu76@gmail.com,USA,Kathmandu,20/6/2026,ig,none,mmt_amber_partnership,Booked,Monash,Jan 2027,Raj,Community #1,asked about visa
Emeka Nwosu,+880 8013062245,emeka.nwosu92@gmail.com,Germany,Pune,23/8/2026,whatsapp,social,scholarship_2026,Contacted,UBC,Jan 2027,Chirag,Community #1,hot lead
Mehak Patel,+92 8748960541,mehak.patel43@gmail.com,Germany,Delhi,18/7/2026,ig,social,,Qualified,,Sep 2026,Aditi,Community #1,asked about visa
Sneha Ali,+91 7914697067,sneha.ali4@gmail.com,Canada,Karachi,12/7/2026,whatsapp,referral,aspirants,Contacted,Monash,Sep 2026,Aditi,Community #2,follow up
Mehak Ahmed,+977 8327659400,mehak.ahmed81@gmail.com,Australia,Dhaka,12/6/2026,google,none,scholarship_2026,Contacted,Warwick,Sep 2026,Neha,Community #2,hot lead
